,Year,...1,Population,Growth_Rate,Period,ASX_Yearly_Return_Percentage,Export to USA,Import from USA,AUS Yearly AVG Unemployment Rate,AUS_gdp_growth,Australia Inflation Rate %,USA Inflation Rate %,USA_gdp_growth,Export to AUS,Import from AUS,USA Yearly AVG Unemployment Rate,S&P500_Yearly_Return_Percentage
1,1992,1,44872,2.663128031,Pre-AUSFTA,7.539515544,2824406788,8947909633,10.7552531,0.427678438,1.012231126,3.028819678,3.522497184,8912374011,3949965883,7.491666667,-4.23446788
2,1993,2,46036,2.594045284,Pre-AUSFTA,34.10317432,2698285472,8899192629,10.88122133,4.045157049,1.753653445,2.951656966,2.751795862,8271585771,3513833916,6.908333333,-6.660949727
3,1994,3,47200,2.528455991,Pre-AUSFTA,-12.19626973,2778133661,10848514026,9.713577233,3.979706175,1.969634797,2.607441592,4.029022729,9779895774,3423522970,6.1,1.343436323
4,1995,4,48364,2.466101695,Pre-AUSFTA,16.53777139,2635123555,12256843954,8.472009383,3.883164804,4.6277666,2.805419689,2.684430735,10788362240,3560497408,5.591666667,-25.46068547
5,1996,5,49528,2.406748821,Pre-AUSFTA,8.684473639,2980450888,14052516801,8.513863042,3.86393434,2.615384615,2.9312042,3.772772686,11991572877,4117718073,5.408333333,-16.2013662
6,1997,6,57630,16.35842352,Pre-AUSFTA,9.000594752,3659862653,13370046019,8.362873167,3.913189432,0.224887556,2.337689937,4.447127942,12040757643,4895538663,4.941666667,-24.05325474
7,1998,7,58400,1.336109665,Pre-AUSFTA,6.13967354,5313329280,13577153075,7.68355895,4.66325163,0.86013463,1.552279099,4.483133346,11928925233,5697004115,4.5,-20.67879892
8,1999,8,58850,0.770547945,Pre-AUSFTA,14.10950907,4536709947,13422407908,6.868433433,5.027647469,1.483129403,2.188027197,4.788425053,11810612513,5584667679,4.216666667,-16.41313595
9,2000,9,59690,1.427357689,Pre-AUSFTA,3.636422464,6343590179,14255578352,6.277891692,3.921517829,4.457435148,3.376857271,4.077585758,12481802684,6424999568,3.966666667,10.22055928
10,2001,10,60780,1.826101525,Pre-AUSFTA,4.943115708,6170683106,11729045533,6.770016283,2.025127315,4.407135362,2.826171119,0.955538346,10930445005,6470381342,4.741666667,11.77531182
11,2002,11,62890,3.47153669,Pre-AUSFTA,-12.68075803,6308651583,13340675499,6.3668437,3.979633756,2.981574539,1.586031627,1.700447324,13084492973,6816507245,5.783333333,31.23934441
12,2003,12,65350,3.911591668,Pre-AUSFTA,8.99061773,6158398175,14194301260,5.93017135,3.090687182,2.732595966,2.270094973,2.795605966,13076322685,6713861918,5.991666667,-18.24681632
13,2004,13,67510,3.305279265,Pre-AUSFTA,22.71942793,7009494672,16111106628,5.391922408,4.224321727,2.343255225,2.677236693,3.847771692,13957845091,7899475342,5.541666667,-8.535216846
14,2005,14,70520,4.458598726,Pre-AUSFTA,17.36558882,7069127457,17460413215,5.032043725,3.154139257,2.691831683,3.392746845,3.483549938,15588491651,7659316346,5.083333333,-3.70186415
15,2006,15,74670,5.88485536,Post-AUSFTA,18.71649712,7583156630,19664100039,4.773331233,2.755298243,3.555287737,3.225944101,2.784539639,17781610037,8541085343,4.608333333,-10.54078827
16,2007,16,78930,5.705102451,Post-AUSFTA,11.80909997,8417109882,21252491888,4.370321958,3.773392681,2.327611289,2.852672482,2.003858298,19205100724,8956453032,4.616666667,-3.525021112
17,2008,17,80730,2.28050171,Post-AUSFTA,-41.41062875,10184268115,24256280095,4.24217875,3.58622798,4.35029855,3.839100297,0.113587248,22428309672,10925971419,5.8,60.21699419
18,2009,18,82200,1.82088443,Post-AUSFTA,31.14868958,7467440941,18669858038,5.568717633,1.892573609,1.771117166,-0.355546266,-2.576500234,19596998319,8220815311,9.283333333,-16.43798762
19,2010,19,85330,3.807785888,Post-AUSFTA,-2.688505929,8430740965,22561955880,5.208164233,2.226538078,2.918340027,1.640043442,2.695192584,21804444754,8795060190,9.608333333,-9.911421392
20,2011,20,90090,5.578342904,Post-AUSFTA,-14.462834,9844790810,26797968729,5.082050258,2.40897178,3.303850156,3.156841569,1.564406854,27622669210,10364472436,8.933333333,1.134701018
21,2012,21,96710,7.348207348,Post-AUSFTA,13.35706083,9515734602,29386824365,5.225032417,3.918409625,1.762780156,2.069337265,2.289113388,31145106750,9673186809,8.075,-10.45653104
22,2013,22,100810,4.239478854,Post-AUSFTA,13.73383001,7603068416,23820298823,5.668048625,2.606198447,2.449888641,1.464832656,2.117830099,26110413854,9203539948,7.358333333,-20.88013158
23,2014,23,102690,1.864894356,Post-AUSFTA,0.802922902,9943289722,24148859083,6.062889433,2.607401032,2.487922705,1.622222977,2.523819814,26493675714,10765008044,6.158333333,-11.0214192
24,2015,24,104650,1.908657123,Post-AUSFTA,-2.57547053,9977449262,22560990950,6.058366733,2.201810153,1.508366722,0.118627136,2.945550455,25021024404,10965056475,5.275,0.697672143
25,2016,25,105750,1.05112279,Post-AUSFTA,7.500233463,8761918095,21703311764,5.719485883,2.779142625,1.276990945,1.261583206,1.819451475,22132931150,9556561771,4.875,-10.10215157
26,2017,26,108830,2.912529551,Post-AUSFTA,5.789086218,8434026568,23612147223,5.605961442,2.318709387,1.948647409,2.130110004,2.457622304,24514121822,10166117144,4.358333333,-15.55125841
27,2018,27,110090,1.157768998,Post-AUSFTA,-6.845064849,9067761920,24487207095,5.303563683,2.906363115,1.911400944,2.442583297,2.966505071,25307196138,10209238802,3.891666667,7.537746574
28,2019,28,111040,0.86293033,Post-AUSFTA,20.26521884,9810860733,26089879395,5.173646267,2.181109106,1.610767873,1.812210075,2.467037563,26018549254,11017254934,3.675,-22.30885421
29,2020,29,113170,1.918227666,Post-AUSFTA,-1.54694644,12837725448,24813318137,6.479736067,-0.334686359,0.846905537,1.233584396,-2.213469333,23473180215,14334509767,8.091666667,-13.26439603
30,2021,30,90090,-20.39409738,Post-AUSFTA,11.37607911,11021954790,26614563291,5.123761142,2.111830889,2.863910422,4.697858864,5.800206128,26427478122,11865966492,5.35,-22.35605873
